MOLECULAR SEXING,Sample number,season,sampling session,cormorant sex,RFU peak 1,RFU peak 2,MOLECULAR FISH IDENTIFICATION,Anguilla anguilla,Lota lota,Esox lucius,Rutilus rutilus,Phoxinus phoxinus,Abramis brama,Alburnus mento,Barbus barbus,Rutilus virgo,Squalius cephalus,Leuciscus spp.,Scardinius erythrophthalmus,Carassius spp.,Tinca tinca,Leuciscus aspius,Vimba vimba,Cyprinus carpio,Alburnoides bipunctatus,Alburnus alburnus,Oncorhynchus mykiss,Salvelinus spp.,Thymallus thymallus,Salmo trutta,Coregonus spp.,Lepomis gibbosus,Sander lucioperca,Perca fluviatilis,Gymnocephalus spp.,,MORPHOLOGICAL ANALYSIS: fish hard parts identifiable to species level and suitable for fish-length regression analysis,measurable individuals,Perca fluviatilis,Gymnocephalus cernua,Sander lucioperca,Lepomis gibbosus, Rutilus rutilus,Phoxinus phoxinus,Abramis brama,Alburnus mento,Barbus barbus,Rutilus virgo,Squalius cephalus,Leuciscus spp.,Scardinius erythrophthalmus,Carassius spp.,Tinca tinca,Leuciscus aspius,Vimba vimba,Cyprinus carpio,Ctenopharyngodon idella,Alburnoides bipunctatus,Alburnus alburnus,Oncorhynchus mykiss,Salvelinus spp.,Thymallus thymallus,Salmo trutta,Coregonus spp.,Lota lota,Esox lucius,Anguilla anguilla,,MORPHOLOGICAL ANALYSIS: all hard parts,fish individuals, Rutilus rutilus,Scardinius erythrophthalmus,Abramis brama,Tinca tinca,Cyprinus carpio,Ctenopharyngodon idella,Alburnus mento,Cyprinidae,Salmo trutta,Coregonus spp.,Perca fluviatilis,Sander lucioperca,Gymnocephalus spp.,Esox lucius,Lota lota,Anguilla anguilla,NID
,S47,breeding 2012,1,female,0.7266,2.5214,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,S278,breeding 2012,2,female,0.2766,1.5678,,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,12,0,7,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,12,3,0,1,0,0,0,0,0,0,0,0,1,7,0,0,0,0
,S279,breeding 2012,2,female,1.1432,4.6372,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,9,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,5
,S280,breeding 2012,2,male,,0.6069,,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,22,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,25,16,0,3,0,0,0,0,0,0,0,6,0,0,0,0,0,0
,S281,breeding 2012,2,female,0.4236,2.5711,,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,S284,breeding 2012,2,female,0.0915,0.3423,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
,S286,breeding 2012,2,female,0.2154,0.4283,,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13,0,0,0,0,6,0,0,0,0,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,2,0,0,,,16,6,1,0,3,1,0,0,3,0,0,0,0,0,0,2,0,0
,S287,breeding 2012,2,female,0.5105,2.0936,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,S288,breeding 2012,2,male,,2.8611,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
,S289,breeding 2012,2,female,0.2506,1.8936,,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,S290,breeding 2012,2,female,0.5985,3.0637,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,S291,breeding 2012,2,female,1.3747,4.8603,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,S294,breeding 2012,2,female,0.873,3.2337,,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,71,12,0,0,0,48,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,74,48,10,1,0,0,0,0,0,0,0,15,0,0,0,0,0,0
,S296,breeding 2012,2,female,0.5734,2.1827,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,7,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0
,S297,breeding 2012,2,male,,1.7377,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,S298,breeding 2012,2,female,0.4395,2.2607,,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,S300,breeding 2012,2,male,,4.0027,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,,,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
,S301,breeding 2012,2,female,0.6625,1.1273,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,12,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,12,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0
,S302,breeding 2012,2,male,,4.0702,,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,,,8,0,0,3,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,13,5,2,1,0,0,1,0,0,0,0,0,4,0,0,0,0,0
,S303,breeding 2012,2,male,,0.3989,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
,S305,breeding 2012,2,female,0.4027,1.4351,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,21,11,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,28,16,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
,S306,breeding 2012,2,male,,2.5771,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,7,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,11,1,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
,S308,breeding 2012,2,female,0.1803,1.5019,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,S311,breeding 2012,2,female,1.2799,4.6657,,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13,0,0,0,0,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,13,11,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,S312,breeding 2012,2,male,,0.4493,,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0
,S313,breeding 2012,2,female,0.134,0.5,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,S314,breeding 2012,2,male,,0.7381,,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,9,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,9,5,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,S315,breeding 2012,2,male,,0.4255,,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,23,0,0,0,0,11,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,,23,11,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
,S316,breeding 2012,2,female,0.2255,1.1796,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,S317,breeding 2012,2,male,,2.861,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
,S318,breeding 2012,2,male,,2.1871,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,S320,breeding 2012,2,male,,4.3789,,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,S322,breeding 2012,2,female,2.0106,5.126,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
,S323,breeding 2012,2,male,,5.5786,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,,,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,12,9,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
,S324,breeding 2012,2,male,,0.597,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
