Location,Site,Week,Season,Tide,Weather,CanopyCover,OtterCount
Monterey Bay,3,1,Winter,Low,Windy,0.697153281,7
Monterey Bay,3,2,Winter,Mid,Sunny,0.751577293,14
Monterey Bay,2,3,Winter,Mid,Sunny,0.341262325,19
Monterey Bay,3,4,Winter,Mid,Cloudy,0.488638974,20
Monterey Bay,1,5,Winter,High,Sunny,0.427350963,21
Monterey Bay,1,6,Winter,Mid,Rainy,0.742115973,24
Monterey Bay,3,7,Winter,High,Cloudy,0.421026266,15
Monterey Bay,2,8,Winter,Low,Windy,0.547032502,22
Monterey Bay,2,9,Winter,High,Rainy,0.711878931,6
Monterey Bay,2,10,Winter,Low,Rainy,0.846265667,18
Monterey Bay,1,11,Winter,Low,Sunny,0.687318419,36
Monterey Bay,3,12,Winter,Low,Rainy,0.553618144,16
Monterey Bay,2,13,Winter,Low,Windy,0.363876707,22
Monterey Bay,3,14,Spring,Low,Sunny,0.587832157,54
Monterey Bay,1,15,Spring,High,Windy,0.577419921,16
Monterey Bay,1,16,Spring,Mid,Sunny,0.744176065,18
Monterey Bay,1,17,Spring,High,Windy,0.705747197,26
Monterey Bay,2,18,Spring,Mid,Windy,0.552575115,22
Monterey Bay,2,19,Spring,Low,Sunny,0.541183777,37
Monterey Bay,1,20,Spring,Low,Windy,0.651827692,30
Monterey Bay,1,21,Spring,Low,Cloudy,0.597217379,34
Monterey Bay,2,22,Spring,High,Sunny,0.969486317,48
Monterey Bay,1,23,Spring,Mid,Rainy,0.923809279,36
Monterey Bay,2,24,Spring,Low,Rainy,0.499762995,25
Monterey Bay,1,25,Spring,Low,Rainy,0.89007597,36
Monterey Bay,2,26,Spring,High,Windy,0.497654765,23
Monterey Bay,1,27,Summer,High,Cloudy,0.672296871,27
Monterey Bay,2,28,Summer,High,Windy,0.383477497,34
Monterey Bay,1,29,Summer,Mid,Sunny,0.638982419,70
Monterey Bay,3,30,Summer,Mid,Rainy,0.469928077,38
Monterey Bay,1,31,Summer,High,Sunny,0.879866177,66
Monterey Bay,1,32,Summer,Mid,Sunny,0.456825411,53
Monterey Bay,3,33,Summer,Low,Rainy,0.469853837,41
Monterey Bay,2,34,Summer,Mid,Sunny,0.477628457,61
Monterey Bay,1,35,Summer,Mid,Sunny,0.560301475,75
Monterey Bay,3,36,Summer,Low,Rainy,0.746577,51
Monterey Bay,3,37,Summer,Low,Rainy,0.472980942,33
Monterey Bay,1,38,Summer,Mid,Windy,0.523055202,36
Monterey Bay,2,39,Summer,Mid,Cloudy,0.730867074,70
Monterey Bay,3,40,Fall,Mid,Windy,0.459326244,36
Monterey Bay,3,41,Fall,Low,Rainy,0.685633577,47
Monterey Bay,3,42,Fall,High,Rainy,0.626427138,18
Monterey Bay,3,43,Fall,Low,Cloudy,0.331725524,46
Monterey Bay,1,44,Fall,Low,Rainy,0.76334259,41
Monterey Bay,2,45,Fall,Low,Rainy,0.958355394,61
Monterey Bay,1,46,Fall,High,Windy,0.627968147,27
Monterey Bay,1,47,Fall,Mid,Windy,0.867193662,43
Monterey Bay,2,48,Fall,Mid,Rainy,0.724756287,37
Monterey Bay,1,49,Fall,Mid,Sunny,0.372094505,40
Monterey Bay,2,50,Fall,Mid,Rainy,0.880800852,38
Monterey Bay,1,51,Fall,High,Cloudy,0.831460148,54
Monterey Bay,2,52,Fall,Low,Rainy,0.384620677,26
Elkhorn Slough,3,1,Winter,Mid,Sunny,0.35161022,14
Elkhorn Slough,1,2,Winter,Low,Sunny,0.571343524,18
Elkhorn Slough,1,3,Winter,Mid,Windy,0.34214878,3
Elkhorn Slough,2,4,Winter,Mid,Cloudy,0.230320538,7
Elkhorn Slough,2,5,Winter,Low,Windy,0.354302087,11
Elkhorn Slough,1,6,Winter,High,Sunny,0.215972844,3
Elkhorn Slough,3,7,Winter,Mid,Rainy,0.26734782,11
Elkhorn Slough,1,8,Winter,Low,Cloudy,0.339243458,0
Elkhorn Slough,3,9,Winter,Low,Rainy,0.259343931,3
Elkhorn Slough,3,10,Winter,Low,Sunny,0.389273554,7
Elkhorn Slough,1,11,Winter,High,Rainy,0.195128013,3
Elkhorn Slough,3,12,Winter,High,Cloudy,0.277941393,7
Elkhorn Slough,2,13,Winter,Low,Rainy,0.229344254,7
Elkhorn Slough,3,14,Spring,High,Sunny,0.22839274,0
Elkhorn Slough,3,15,Spring,Low,Rainy,0,4
Elkhorn Slough,1,16,Spring,Mid,Rainy,0.149620595,14
Elkhorn Slough,3,17,Spring,Low,Windy,0.377901977,19
Elkhorn Slough,1,18,Spring,Mid,Sunny,0.173379463,11
Elkhorn Slough,1,19,Spring,High,Windy,0.303676526,9
Elkhorn Slough,1,20,Spring,Mid,Cloudy,0.578995051,22
Elkhorn Slough,2,21,Spring,Mid,Rainy,0.253773307,3
Elkhorn Slough,2,22,Spring,Low,Sunny,0.53837162,18
Elkhorn Slough,1,23,Spring,Low,Sunny,0.385702127,21
Elkhorn Slough,2,24,Spring,Mid,Windy,0.574718815,17
Elkhorn Slough,1,25,Spring,High,Sunny,0.207632123,16
Elkhorn Slough,1,26,Spring,High,Windy,0.316479011,6
Elkhorn Slough,1,27,Summer,Low,Windy,0.347930637,19
Elkhorn Slough,3,28,Summer,Low,Sunny,0.42192847,23
Elkhorn Slough,1,29,Summer,Mid,Sunny,0.459067022,32
Elkhorn Slough,2,30,Summer,Mid,Cloudy,0.18772702,13
Elkhorn Slough,1,31,Summer,Mid,Cloudy,0.36205692,26
Elkhorn Slough,2,32,Summer,Mid,Windy,0.241513441,11
Elkhorn Slough,2,33,Summer,Mid,Cloudy,0.423502877,31
Elkhorn Slough,1,34,Summer,High,Rainy,0.557789906,14
Elkhorn Slough,1,35,Summer,Mid,Rainy,0.36911056,16
Elkhorn Slough,2,36,Summer,Low,Cloudy,0.227799248,13
Elkhorn Slough,1,37,Summer,High,Windy,0.035380965,15
Elkhorn Slough,1,38,Summer,High,Rainy,0.163180762,18
Elkhorn Slough,2,39,Summer,High,Windy,0.224514377,15
Elkhorn Slough,1,40,Fall,Low,Rainy,0.226703987,8
Elkhorn Slough,1,41,Fall,High,Sunny,0.293756095,9
Elkhorn Slough,1,42,Fall,Low,Cloudy,0.30624979,20
Elkhorn Slough,2,43,Fall,Mid,Cloudy,0.328813557,24
Elkhorn Slough,3,44,Fall,Mid,Windy,0.182323216,5
Elkhorn Slough,3,45,Fall,High,Windy,0.344049904,7
Elkhorn Slough,2,46,Fall,Mid,Cloudy,0.333500424,24
Elkhorn Slough,1,47,Fall,Mid,Windy,0.534422035,18
Elkhorn Slough,2,48,Fall,Low,Sunny,0.597920461,35
Elkhorn Slough,3,49,Fall,Low,Cloudy,0.090214864,16
Elkhorn Slough,2,50,Fall,High,Cloudy,0.20610106,7
Elkhorn Slough,3,51,Fall,High,Windy,0.419622631,12
Elkhorn Slough,2,52,Fall,High,Cloudy,0.36771168,14
